group_id,user_id
30000000-0000-0000-0000-000000000001,40000000-0000-0000-0000-000000000001
30000000-0000-0000-0000-000000000001,40000000-0000-0000-0000-000000000002
30000000-0000-0000-0000-000000000002,40000000-0000-0000-0000-000000000003
30000000-0000-0000-0000-000000000002,40000000-0000-0000-0000-000000000004
30000000-0000-0000-0000-000000000002,40000000-0000-0000-0000-000000000005
30000000-0000-0000-0000-000000000002,40000000-0000-0000-0000-000000000006
30000000-0000-0000-0000-000000000003,40000000-0000-0000-0000-000000000007
30000000-0000-0000-0000-000000000003,40000000-0000-0000-0000-000000000008
30000000-0000-0000-0000-000000000003,40000000-0000-0000-0000-000000000009
30000000-0000-0000-0000-000000000004,40000000-0000-0000-0000-000000000010
30000000-0000-0000-0000-000000000005,40000000-0000-0000-0000-000000000011
30000000-0000-0000-0000-000000000006,40000000-0000-0000-0000-000000000012
